Population,Continent,Status,Offsprings
ON,NAm,Control,20
ON,NAm,Control,17
ON,NAm,Control,37
ON,NAm,Control,32
ON,NAm,Control,27
ON,NAm,Control,20
ON,NAm,Control,32
ON,NAm,Control,21
ON,NAm,Control,19
ON,NAm,Control,23
ON,NAm,Control,35
ON,NAm,Control,22
ON,NAm,Control,0
ON,NAm,Control,0
ON,NAm,Control,0
ON,NAm,Control,0
ON,NAm,Control,0
ON,NAm,Control,0
ON,NAm,Control,0
ON,NAm,Control,0
NY,NAm,Control,31
NY,NAm,Control,31
NY,NAm,Control,19
NY,NAm,Control,22
NY,NAm,Control,27
NY,NAm,Control,32
NY,NAm,Control,15
NY,NAm,Control,23
NY,NAm,Control,20
NY,NAm,Control,16
NY,NAm,Control,23
NY,NAm,Control,26
NY,NAm,Control,29
NY,NAm,Control,18
NY,NAm,Control,27
NY,NAm,Control,16
NY,NAm,Control,29
NY,NAm,Control,0
NY,NAm,Control,0
NY,NAm,Control,0
NY,NAm,T2,17
NY,NAm,T2,47
NY,NAm,T2,10
NY,NAm,T2,24
NY,NAm,T2,3
NY,NAm,T2,36
NY,NAm,T2,16
NY,NAm,T2,10
NY,NAm,T2,6
NY,NAm,T2,29
NY,NAm,T2,0
NY,NAm,T2,0
NY,NAm,T2,0
NY,NAm,T3,24
DE,EU,Control,14
DE,EU,Control,11
DE,EU,Control,20
DE,EU,Control,25
DE,EU,Control,19
DE,EU,Control,23
DE,EU,Control,15
DE,EU,Control,24
DE,EU,Control,21
DE,EU,Control,0
DE,EU,Control,9
DE,EU,Control,0
DE,EU,Control,17
DE,EU,Control,18
DE,EU,Control,29
DE,EU,Control,17
DE,EU,Control,18
DE,EU,Control,36
DE,EU,Control,23
DE,EU,Control,2
DE,EU,Control,0
DE,EU,Control,0
DE,EU,Control,16
DE,EU,Control,34
DE,EU,Control,14
DE,EU,Control,27
DE,EU,Control,22
DE,EU,Control,9
DE,EU,Control,23
DE,EU,Control,0
DE,EU,T2,8
DE,EU,T2,60
DE,EU,T2,61
DE,EU,T2,2
DE,EU,T2,27
DE,EU,T2,17
DE,EU,T2,42
DE,EU,T2,4
DE,EU,T2,8
DE,EU,T2,6
DE,EU,T2,0
DE,EU,T2,0
DE,EU,T2,0
DE,EU,T2,29
DE,EU,T2,49
DE,EU,T2,42
DE,EU,T2,30
DE,EU,T2,17
DE,EU,T2,31
DE,EU,T2,33
DE,EU,T3,16
DE,EU,T3,9
DE,EU,T3,12
DE,EU,T3,23
DE,EU,T3,29
DE,EU,T3,29
DE,EU,T3,31
DE,EU,T3,12
DE,EU,T3,22
DE,EU,T3,0
DE,EU,T3,25
DE,EU,T3,18
DE,EU,T3,15
IT,EU,Control,20
IT,EU,Control,23
IT,EU,Control,25
IT,EU,Control,16
IT,EU,Control,21
IT,EU,Control,24
IT,EU,Control,23
IT,EU,Control,17
IT,EU,Control,15
IT,EU,Control,18
IT,EU,Control,23
IT,EU,Control,22
IT,EU,Control,15
IT,EU,Control,16
IT,EU,Control,19
IT,EU,Control,21
IT,EU,Control,24
IT,EU,Control,0
IT,EU,Control,0
IT,EU,Control,0
IT,EU,Control,0
IT,EU,Control,11
IT,EU,Control,8
IT,EU,Control,0
IT,EU,Control,0
IT,EU,Control,0
IT,EU,Control,16
IT,EU,Control,0
IT,EU,Control,22
IT,EU,Control,0
IT,EU,Control,42
IT,EU,Control,3
IT,EU,Control,13
IT,EU,Control,8
IT,EU,T2,25
IT,EU,T2,38
IT,EU,T2,8
IT,EU,T2,11
IT,EU,T2,5
IT,EU,T2,7
IT,EU,T2,6
IT,EU,T2,17
IT,EU,T2,29
IT,EU,T2,35
IT,EU,T2,14
IT,EU,T2,9
IT,EU,T2,18
IT,EU,T2,23
IT,EU,T2,16
IT,EU,T2,34
IT,EU,T2,0
IT,EU,T2,0
IT,EU,T2,0
IT,EU,T2,0
IT,EU,T3,24
IT,EU,T3,25
IT,EU,T3,17
IT,EU,T3,10
IT,EU,T3,6
IT,EU,T3,15
IT,EU,T3,20
IT,EU,T3,13
IT,EU,T3,16
IT,EU,T3,23
IT,EU,T3,8
IT,EU,T3,17
IT,EU,T3,10
IT,EU,T3,21
IT,EU,T3,14
IT,EU,T3,7
IT,EU,T3,20
IT,EU,T3,0
IT,EU,T3,0
IT,EU,T3,0
